placenm,hhs,white_hhs,black_hhs,hispanic_hhs,asian_hhs,other_hhs,ho_rate,white_ho_rate,black_ho_rate,hispanic_ho_rate,asian_ho_rate,other_ho_rate,mean_hv,white_mean_hv,black_mean_hv,hispanic_mean_hv,asian_mean_hv,other_mean_hv,hw,white_hw,black_hw,hispanic_hw,asian_hw,other_hw
"Aberdeen, MD",5875.963,3938.396,1388.2644,298.0044,163.539,87.7592,0.715656855,0.742344498,0.658425441,0.571364047,0.916872428,0.538343558,262180.9042,256873.8044,271250.4494,265873.494,302551.7241,269555.5556,1061308300,719760400,241412900,44135000,43870000,12130000
"Aberdeen, WA",6930.2106,5840.8176,90.7722,525.6432,64.4394,408.5382,0.759649988,0.799028958,0.543933054,0.395953757,0.844793713,0.699101333,250330.3433,253931.134,242729.1667,161507.5377,260764.7059,255550,1261414600,1135326100,11651000,32140000,13299000,68998500
"Abilene, TX",42789.131,28451.483,3584.412,9642.681,826.321,284.234,0.573516835,0.60673586,0.363010446,0.543464831,0.634397528,0.745508982,163417.3307,179052.9281,118102.0093,122623.8708,167639.1555,170215.2381,3974472900,3060551700,152824000,638012000,87340000,35745200
"Absecon, NJ",3269.8795,1846.557,686.2195,396.191,253.2255,87.6865,0.550932993,0.745340111,0.223971339,0.273599097,0.604589585,0.113848768,284439.48,301556.2698,292139.8601,187500,192507.1429,294444.4444,470462900,379960900,41776000,19125000,26951000,2650000
"Acworth, GA",7341.0536,4926.9852,1195.376,654.8296,315.9208,247.942,0.763621723,0.799873359,0.690521978,0.692577733,0.63981289,0.741059603,291699.4113,299032.5545,257641.8835,255668.1614,304543.1472,365666.6667,1585678000,1139015000,207917000,114028000,59995000,64723000
"Addison, TX",7669.3956,3368.886,1339.2409,2171.4862,576.0616,213.7209,0.338353012,0.496886864,0.093591825,0.250912946,0.36589698,0.187312986,263056.202,291646.6038,172322.314,193866.4122,286064.6766,190000,651064100,463718100,20851000,101586000,57499000,7410000
"Addison, IL",11687.4744,7615.3854,549.1944,2455.3842,943.1697,124.3407,0.728203435,0.847404243,0.057730924,0.523242758,0.671148787,0.869179601,320584.1721,333712.0373,240000,256465.981,343078.7781,194953.271,2675595500,2109727500,7440000,324173000,213395000,20860000
"Adelanto, CA",8792.5357,2274.9561,1614.2952,4299.6886,280.2269,323.3689,0.539019114,0.620808551,0.360422741,0.547204232,0.759972008,0.554881747,267835.5958,257995.6332,252789.8424,265213.2353,287976.0766,404777.1429,1243025000,354486000,144343000,613173000,60187000,70836000
"Agawam Town, MA",11496.2085,8527.1029,434.2819,2184.3472,138.6458,211.8307,0.563500462,0.692497566,0.154290796,0.146923621,0.646239554,0.451230629,270706.6327,270774.8559,265615.3846,234456.869,378563.2184,290736.8421,1701932600,1550727600,17265000,73385000,32935000,27620000
"Agoura Hills, CA",7261.6762,6077.102,44.066,577.6652,389.3832,173.4598,0.783444585,0.8156559,0.5,0.57628294,0.822016461,0.330254042,1594220.793,1632830.588,140000,1224565.35,1380948.553,2190196.429,8847925400,7889837400,3080000,402882000,429475000,122651000
"Aiken, SC",12101.682,8226.5874,3203.4978,446.574,79.0578,145.965,0.767609858,0.821821111,0.630166002,0.82614841,0.926147705,0.463783784,186263.8573,203145.6585,139466.1578,171651.9337,6816.901408,188384.6154,1670786800,1321868800,274051000,62138000,484000,12245000
"Airmont, NY",3046.0182,2195.4216,271.05,267.6306,249.8664,62.0496,0.720778687,0.781454186,0.392923077,0.571517607,0.846461949,0.143817204,558899.079,594517.4129,416176.4706,426541.0959,434421.1055,731250,1153008800,955984000,42450000,62275000,86449800,5850000
"Akron, OH",82848.9575,52833.6161,23258.7566,3348.6189,2080.4473,1327.5186,0.533151544,0.623525494,0.366060011,0.323837866,0.522992339,0.407809503,119736.2703,127031.7174,97156.38574,117527.7778,111082.1033,53215.55556,5260493300,4161305000,823108900,126930000,120413000,28736400
"Alabaster, AL",13077.8688,10360.7816,1614.6612,625.2008,197.3008,279.9244,0.81910337,0.854849368,0.612412065,0.828023892,0.851735016,0.645358533,280819.1169,277586.2182,318080.3942,304779.0927,281341.4634,164494.3182,2912936700,2376693200,306629500,154523000,46140000,28951000
"Alachua, FL",3917.3296,2824.7716,594.0892,245.092,200.9927,52.3841,0.753128305,0.841928388,0.419523533,0.566549296,0.770717046,0.55354201,285139.4928,293521.1903,216716.1017,271992.3077,294945.9459,207107.1429,786985000,651030000,51145000,35359000,43652000,5799000
"Alameda, CA",28921.198,11387.4678,2989.6222,4706.2964,8368.5046,1469.307,0.500624317,0.531137274,0.250641703,0.34624976,0.651761152,0.406451613,822593.3557,903076.8508,544993.2705,762275.2635,793327.3401,792084.7458,11761439800,5379628800,404930000,1229550000,4280001000,467330000
"Alamo Heights, TX",2711.088,1141.2981,413.055,1057.9032,28.5822,70.2495,0.44297153,0.561473028,0.193284672,0.4249886,0.613924051,0.187124464,299245.3184,399012.3457,92885.71429,196555.8313,352500,166666.6667,319594000,226240000,6502000,79212000,5640000,2000000
"Alamogordo, NM",11639.3004,6352.3044,262.4232,4592.8116,62.0568,369.7044,0.677835276,0.675669636,0.486862442,0.689009582,0.477124183,0.745474493,208072.1371,286403.2304,92870.96774,105664.9485,146607.1429,232537.4532,1602571600,1196879100,11516000,327984000,4105000,62087500
"Albany, CA",7442.4476,4578.2492,411.7568,622.5842,1516.0908,313.7666,0.442147661,0.524275743,0.312843407,0.305246423,0.338276441,0.187021181,1208252.85,1267174.712,1300434.426,987777.7778,1031789.366,881189.2857,3751625100,2861280500,158653000,177800000,504545000,49346600
"Albany, NY",43013.4493,25316.5819,9361.6263,3736.7411,2055.5295,2542.9705,0.411875388,0.550695681,0.217310148,0.268520797,0.225503356,0.107414105,213248.6241,222926.6042,217385.566,95555,194650,153125,3758507000,3091992000,439771000,95555000,89539000,41650000
"Albemarle, NC",5970.087,4756.349,827.631,234.503,108.267,43.337,0.779952955,0.836217023,0.516694034,0.698647778,0.746164575,0.156794425,225124.1627,223754.3966,183504.7847,274965.8385,423961.039,100000,1001577400,847357900,76705000,44269500,32645000,600000
"Albert Lea, MN",7195.4992,6587.8862,100.8198,308.9822,139.2476,58.5634,0.781826423,0.784605781,0.724331927,0.875631023,0.657841141,0.368038741,177821.6088,188146.173,85000,38801.49813,133876.4045,84047.61905,937297700,907052700,6205000,10360000,11915000,1765000
"Albion, MI",3473.6688,3004.4889,244.5345,111.8817,65.4444,47.3193,0.781853037,0.808891955,0.382146078,0.950729208,0.961590296,0.482758621,180686.8763,186976.1278,87275,176969.0722,125166.6667,69750,430938200,397885200,6982000,17166000,7510000,1395000
"Albuquerque, NM",224504.7643,106858.5881,5714.0904,94157.1544,5406.124,12368.8074,0.619065685,0.680396446,0.42173225,0.591382014,0.472504108,0.455170197,284907.2896,283303.2625,238882.0833,273797.2724,576206.4491,303042.2912,39416353700,20502090500,573317000,15177404200,1465293000,1698249000
"Alexandria, KY",3461.9876,3240.0192,40.9446,104.1072,35.5488,41.3678,0.716276511,0.74577129,0.342377261,0.275406504,0.511904762,0.061381074,200791.4584,197422.5746,85384.61538,283400,600176.4706,135000,441942000,423274000,1110000,7085000,10203000,270000
"Alexandria, LA",17120.9188,11660.2894,4207.9868,710.4966,222.3058,319.8402,0.613390503,0.706591622,0.410985082,0.339905075,0.574095683,0.513381995,162992.9883,178229.2631,104426.8293,70550.6383,217391.6667,110150.6494,1659757600,1424586500,175541500,16579400,26087000,16963200
"Alexandria, VA",71005,42336,14401,8648,3608,2012,0.451714668,0.567106009,0.25546837,0.247109158,0.475055432,0.265904573,645578.7242,696650.7143,384592.0087,598720.6364,542567.0945,665542.0561,20706292000,16725887000,1414914000,1279466000,929960000,356065000
"Algonquin, IL",9541.98,7384.8297,229.5669,1623.8862,206.6046,97.0926,0.750126798,0.812829198,0.186228067,0.551431991,0.661128068,0.826870431,241544.8834,248871.2006,137725,203143.1925,252200,166558.4416,1626321700,1403384700,5509000,173078000,31525000,12825000
"Alhambra, CA",29653.0932,6794.4444,787.9296,8053.8282,12901.623,1115.268,0.448932741,0.476550842,0.047794118,0.366783563,0.513106932,0.414935065,895552.5322,1115164.123,1100000,663677.8043,903081.6891,717787.4187,11812337900,3580792000,40700000,1946567000,5913378900,330900000
"Aliquippa, PA",3975.1824,3608.2406,265.1838,67.9817,9.6854,24.0909,0.716413768,0.74671265,0.439667129,0.285843102,0.386075949,0.572519084,180809.8476,184891.7667,90718.18182,227500,50000,144090.9091,462692400,446883400,9979000,4095000,150000,1585000
"Aliso Viejo, CA",21798.36,15645.7368,263.6976,1939.9578,3487.497,461.4708,0.606368653,0.607707449,0.40419708,0.46074662,0.703208003,0.556830031,1599670.86,1606428.478,941346.1538,675177.3196,2014963.04,853884.4622,20662948500,14909262700,97900000,589429800,4852031000,214325000
"Allen, TX",35019.344,20996.1563,3812.342,4335.6951,5680.4424,194.7082,0.761425682,0.768624498,0.544707086,0.680884802,0.9350696,0.95599569,362094.4334,350016.7151,469148.4907,283826.2363,401714.5833,305000,9503530500,5538664500,963631000,826502000,2121053000,53680000
"Allen Park, MI",10894.4432,8387.5352,1011.2016,1222.6304,39.1448,233.9312,0.706656913,0.732610457,0.440658322,0.771472393,0.640718563,0.598196393,113177.4381,120334.8548,69544.41913,90864.01719,125000,87700.72993,855281900,725017500,30530000,84594400,3125000,12015000
"Allentown, PA",40959,14358,4460,20154,1636,351,0.377157645,0.616241816,0.185650224,0.247742384,0.410757946,0.304843305,172758.2211,183934.6745,140084.5411,154579.0106,216982.1429,71962.61682,2668769000,1627454000,115990000,771813000,145812000,7700000
"Alma, MI",3298.6295,3007.1956,51.3911,97.1011,27.8831,115.0586,0.724279917,0.745266221,0.274459975,0.366509751,0.672131148,0.691259932,145735.3831,142401.2526,156666.6667,115612.9032,656611.1111,117888.8889,298611800,272840800,1880000,3584000,11819000,8488000
"Alpharetta, GA",23441.8554,14514.747,2654.1966,2014.995,3488.544,769.3728,0.742090884,0.812808311,0.410528293,0.736117856,0.770775372,0.437368984,472805.9666,500044.9635,347403.1657,414761.2551,450286.4926,368279.6353,8050940000,5758517800,373111000,608040000,1190107200,121164000
"Altamonte Springs, FL",18675.6135,11999.45,1567.689,3796.712,750.261,561.5015,0.618765108,0.698785153,0.349561361,0.465916825,0.775020959,0.485051242,339689.7155,348993.6055,295422.1388,318680.9107,368677.2487,217462.406,3808261400,2838016000,157460000,545900400,209040000,57845000
"Alton, IL",11320.956,9650.79,1275.8448,290.7012,47.4768,56.1432,0.696272258,0.750375793,0.260927348,0.849643552,0.607142857,0.570469799,137989.9049,140767.2292,88925.69659,135740.7407,75000,91935.48387,1059348500,992690500,28723000,32985000,2100000,2850000
"Altoona, IA",7116.8868,6385.6896,263.4643,296.599,83.5193,87.6146,0.726354886,0.780006219,0.092322186,0.413389121,0.270430906,0.216713881,247507.4582,246576.9548,270000,231898.3051,475000,295000,1244467500,1195158500,6480000,27364000,10450000,5015000
