placenm,hhs,white_hhs,black_hhs,hispanic_hhs,asian_hhs,other_hhs,ho_rate,white_ho_rate,black_ho_rate,hispanic_ho_rate,asian_ho_rate,other_ho_rate,mean_hv,white_mean_hv,black_mean_hv,hispanic_mean_hv,asian_mean_hv,other_mean_hv,hw,white_hw,black_hw,hispanic_hw,asian_hw,other_hw
"Altus, OK",7228.9482,5426.6694,319.4916,1046.4612,52.8279,383.4981,0.735970469,0.771712406,0.879232506,0.502584425,0.542662116,0.774330042,169897.2378,193418.061,98992.83154,47021.31783,345000,110224.1379,879558000,786051000,27619000,24263000,9660000,31965000
"Alvin, TX",9036.1431,5445.447,761.6493,2321.2806,432.8718,74.8944,0.775080786,0.780638559,0.610184372,0.808142885,0.833676622,0.68452381,204022.3602,193575.6209,273777.2926,189988.0435,314065.1558,170408.1633,1396941100,802758100,125390000,349578000,110865000,8350000
"Amarillo, TX",73968.2478,47985.5739,4525.7735,18303.5852,2046.4441,1106.8711,0.629841552,0.670382842,0.41889551,0.56522173,0.782711094,0.520734347,184710.738,210204.055,100144.7159,125727.1737,163742.1384,162672.5044,8526801800,6692266500,188572500,1292726800,260350000,92886000
"Ambridge, PA",2970.0384,2695.8796,198.1308,50.7922,7.2364,17.9994,0.716413768,0.74671265,0.439667129,0.285843102,0.386075949,0.572519084,180027.8113,184256.37,89148.14815,226538.4615,50000,148500,328190700,316736700,7221000,2945000,100000,1188000
"American Canyon, CA",6855.2475,4559.145,63.1275,1594.575,385.035,253.365,0.670817137,0.736388073,0.514672686,0.482931189,0.770170244,0.561304837,796608.9773,870713.0573,1070161.29,569028.4939,606877.2563,644167.8832,3442944000,2734039000,33175000,419374000,168105000,88251000
"Amherst, OH",4679.894,4256.805,107.707,190.28,65.391,59.711,0.843219953,0.868734884,0.391562294,0.785447761,0.339847991,0.57431629,247161.2418,248443.2583,177475,230205.4795,306666.6667,234833.3333,903621500,849427500,7099000,33610000,6440000,7045000
"Amityville, NY",2828.8674,1482.1726,587.8002,548.3946,122.7636,87.7364,0.678126023,0.703914106,0.609081793,0.659143252,0.901234568,0.511516315,415011.6992,436217.6166,363618.0758,424625.3602,404848.4848,289024.3902,744946000,420950000,124721000,147345000,40080000,11850000
"Amory, MS",2628.8442,1888.6482,634.3866,52.983,29.1276,23.6988,0.738289549,0.807136342,0.555253847,0.82955665,0.546594982,0.182819383,152710.7438,172335.352,77444.44444,57358.97436,266666.6667,101250,258692000,227655000,24395000,2237000,4000000,405000
"Amsterdam, NY",7575.6459,6761.1834,253.584,437.4324,56.7042,66.7419,0.65152607,0.688492994,0.321527778,0.355072464,0.043478261,0.62005277,148001.3006,148506.9005,67184.81013,149490.0662,600000,227500,694126100,656400500,5307600,22573000,1200000,8645000
"Anaconda, MT",4137.4872,3834.3536,8.8088,87.2872,57.288,149.7496,0.719802879,0.740931144,0.265734266,0.49047283,0.549462366,0.404360346,290978.0686,280504.8412,450000,206097.561,104166.6667,908362.069,789423500,724263500,900000,8450000,3125000,52685000
"Anacortes, WA",6995.8044,5962.6287,99.2016,514.9818,212.0733,206.919,0.720155469,0.754450583,0.631024096,0.4051349,0.602324762,0.679422383,423293.2125,430597.5322,354677.9661,314094.2408,488825.4237,338096,1821007400,1640146000,20926000,59992000,57681400,42262000
"Anaheim, CA",95404.8771,31919.8679,4215.6595,37749.8003,19667.5664,1851.983,0.464050379,0.581522726,0.220303585,0.338551333,0.590048045,0.214236092,636174.0071,658769.7551,394401.9502,565873.295,701420.2406,515425.641,27840246900,12051533900,364033000,7176971000,8046693000,201016000
"Anchorage, AK",105198,69165,4898,7889,9867,13379,0.619707599,0.686141835,0.447325439,0.432120674,0.683997162,0.402571194,318194.0882,332600.4172,257804.6554,314724.5527,281004.5933,264620.3119,20743709000,15784218000,564850000,1072896000,1896500000,1425245000
"Andalusia, AL",3357.0432,2440.5024,668.5088,115.6992,14.8672,117.4656,0.69733842,0.781356494,0.414400528,0.585877863,0.599009901,0.684210526,137453.507,142651.2438,83242.85714,123508.6207,250000,200207.7922,274357200,229383200,20394500,7163500,2000000,15416000
"Anderson, IN",21816.3296,19142.3752,1800.6872,585.0208,164.5904,123.656,0.688843718,0.701378834,0.584892257,0.687317784,0.212435233,0.903448276,123131.7798,127386.4891,81556.9378,108413.0982,219000,30281.81818,1822966000,1683922000,85227000,43040000,7446000,3331000
"Anderson, SC",10812.645,8731.2554,1572.3076,314.7182,75.4354,118.9284,0.752073854,0.813405412,0.408670415,0.820117807,0.680529301,0.654676259,197372.3696,203247.3715,137445.1613,126818.5484,408500,251866.6667,1540096600,1384114600,85216000,31451000,20425000,18890000
"Andover, KS",4743.2992,3616.336,565.984,230.1472,127.328,203.504,0.685121107,0.766541162,0.402340702,0.517428846,0.627745665,0.250271248,214604.9403,218631.4252,143589.6226,217508.9286,339000,113795.9184,647248500,561445500,30441000,24361000,25425000,5576000
"Angleton, TX",5634.921,3395.77,474.963,1447.546,269.938,46.704,0.775080786,0.780638559,0.610184372,0.808142885,0.833676622,0.68452381,203522.7878,192849.2902,273521.1268,189975.3086,310831.0502,172903.2258,855609800,489065800,77680000,215432000,68072000,5360000
"Ankeny, IA",22314.1068,20021.5296,826.0593,929.949,261.8643,274.7046,0.726354886,0.780006219,0.092322186,0.413389121,0.270430906,0.216713881,247492.1919,246564.7401,270000,232759.7911,475000,287627.1186,3977942000,3818055000,20520000,89147000,33250000,16970000
"Ann Arbor, MI",45542.0352,32454.2424,3291.7422,2012.0601,6453.8337,1330.1568,0.477529555,0.550530617,0.250450992,0.321200197,0.307928232,0.317708333,402288.9987,422076.7631,197730.8161,302945.7364,359754.4214,316947.7435,8713982000,7510856000,162337000,195400000,711954000,133435000
"Anna, TX",3588.0323,2582.1457,324.3507,537.8765,81.9847,61.6747,0.810543595,0.826748119,0.689626383,0.813215859,0.677952106,0.920965971,286685.4766,298857.2917,299492.5926,216026.8949,319693.8776,309600,757996400,573806000,64690400,88355000,15665000,15480000
"Annapolis, MD",15003.504,11664.711,1612.341,1322.739,168.237,235.476,0.765136864,0.833265565,0.531752898,0.456021936,0.456053068,0.94549763,529003.0013,536517.0433,573576.1511,261560.4027,813157.8947,658486.2385,5975088900,5128029900,485819000,155890000,61800000,143550000
"Ansonia, CT",7589.575,5040.755,1148.86,1034.78,238.545,126.635,0.634228531,0.701731189,0.394360496,0.616087478,0.520467836,0.485924113,294802.6541,316540.4616,300625.8503,176167.1975,305375,232433.3333,1377318000,1083518000,132576000,110633000,36645000,13946000
"Antioch, CA",36754.6862,14455.3926,7567.3928,8133.712,5574.8234,1023.3654,0.640857268,0.699796227,0.55976896,0.507009346,0.819498892,0.498607242,516732.8615,447041.8073,615470.1705,432900.1461,647838.2062,580917.1598,12120486000,4501711000,2599746000,1777488000,2947016000,294525000
"Antioch, IL",5198.0904,4095.3008,98.8976,767.7672,139.5776,96.5472,0.75108259,0.765794005,0.534734918,0.71388202,0.823186528,0.540262172,232490.5123,238112.8978,205600,180407.619,345027.2727,226500,857657500,703385500,10280000,94714000,37953000,11325000
"Apache Junction, AZ",16728.9506,12778.0322,536.1714,2716.2564,171.5288,526.9618,0.82620813,0.843622604,0.637681159,0.833227379,0.565436242,0.644456581,250587.7836,246391.68,310514.7059,252430.8582,380468.75,272958.209,3413256200,2611998200,105575000,567717000,36525000,91441000
"Apex, NC",17447.89,12966.397,1696.42,930.5775,1664.174,190.3215,0.795841703,0.833108072,0.406818182,0.729566855,0.966090986,0.55985267,392366.2377,386170.0968,245230.531,366885.4167,510075.3165,361923.0769,5365608300,4109236000,166266300,246547000,805919000,37640000
"Apple Valley, MN",20565.7158,16875.607,1410.7128,611.1294,1144.185,524.0816,0.717131387,0.773650625,0.134860051,0.814243759,0.703529412,0.380993151,272466.9441,274243.2745,293882.9787,220032.3232,272598.5037,266331.6583,3993548000,3557758000,55250000,108916000,218624000,53000000
"Apple Valley, CA",21960.109,10690.77,969.0825,9221.3035,604.082,474.871,0.621575535,0.703887606,0.419532909,0.580570307,0.408719346,0.247833622,295413.661,310692.9659,331567.1642,265523.4796,403855.3719,335260.8696,3985425700,2305652500,133290000,1410195200,97733000,38555000
"Appleton, WI",30081.17,27694.1824,418.5506,701.3496,633.208,633.8794,0.704329546,0.709699067,0.456091569,0.570253409,0.823883779,0.662566412,215355.4728,216419.7933,243851.8519,182189.8734,225406.1896,172394.2308,4452474400,4146170400,46088000,71965000,116535000,71716000
"Arcadia, CA",18703.2472,4246.165,298.2672,3106.95,10626.0649,425.8001,0.562049108,0.566829268,0.109126984,0.311619048,0.641836763,0.667824878,1129155.603,1153109.787,1490322.581,1004133.052,1163024.193,505017.8571,11597557200,2709808000,46200000,950914000,7749230200,141405000
"Arcadia, FL",3063.9024,2158.2483,285.0354,564.9501,25.5528,30.1158,0.75514628,0.820150814,0.573283529,0.591941129,0.867063492,0.784511785,159995.468,164684.5603,134158.9404,140933.9934,316500,129000,324790800,252790800,20258000,42703000,6330000,2709000
"Arkadelphia, AR",4409.4248,3640.7784,565.396,77.9536,30.544,94.7528,0.701763368,0.781018037,0.310158544,0.236797274,0.7,0.376313945,183388.9085,176140.7151,142901.2346,94352.94118,197894.7368,1016187.5,519174000,458142000,23150000,1604000,3760000,32518000
"Arkansas City, KS",4711.5924,4121.6308,69.6424,360.2048,33.5588,126.5556,0.728604282,0.734832436,0.85347432,0.715245327,0.489028213,0.558603491,118861.1324,127134.6842,52931.03448,43369.9187,214800,93779.41176,371559900,348221900,3070000,10669000,3222000,6377000
"Arlington, TX",134677.9382,55211.4094,36333.8273,32289.3438,8201.5016,2641.8561,0.541179245,0.661785846,0.367194881,0.492966017,0.730990359,0.413501856,230478.1608,242159.2427,232642.8852,199902.6364,235870.5072,231491.2281,16641675600,8742917300,3081820300,3161860000,1404373000,250705000
"Arlington, WA",7221.515,5981.58,71.4175,453.945,252.015,462.5575,0.756449305,0.774942407,0.363636364,0.547869235,0.779705573,0.769979948,425645.5536,419768.3427,350333.3333,484458.3333,488132.2751,431357.7713,2225700600,1861672600,8408000,116270000,92257000,147093000
"Arlington Heights, IL",28622.5716,19749.6726,648.227,4327.032,3429.388,468.252,0.671789463,0.78033966,0.196357295,0.39145264,0.472222916,0.803715521,331738.3973,344206.3775,342698.4127,269936.1194,300606.383,232368.2796,6275827000,5213694000,43180000,452143000,480369000,86441000
"Artesia, CA",4986.552,1403.895,491.9082,1338.0858,1595.1984,157.4646,0.689321399,0.852347505,0.466554125,0.582189124,0.703995315,0.693473962,635367.1357,591084.3863,630418.1818,552763.4379,742838.6473,630166.6667,2031904100,654921500,138692000,405175600,768838000,64277000
"Arvada, CO",47208.0003,38651.8542,190.2183,6495.8988,1052.1472,817.8818,0.694666116,0.741650857,0.274704379,0.426728892,0.613451426,0.804437389,494475.6267,509124.5551,609653.0612,380903.4634,438727.8583,382564.6154,15958211900,14362403700,29873000,1044818200,272450000,248667000
"Arvin, CA",7051.016,4747.7808,390.054,1475.9892,145.558,291.634,0.59788422,0.636641355,0.435590969,0.476591563,0.706049822,0.743872114,230544.9232,222704.2229,233201.2195,234485.7778,426515.1515,231279.6209,930940400,643392500,38245000,158277900,42225000,48800000
"Asbury Park, NJ",6851.1072,4683.0756,949.3192,960.386,98.54,159.7864,0.487010975,0.619079991,0.1545832,0.177111287,0.432307692,0.487666034,537918.0734,548599.3854,511267.6056,368164.6341,576000,545333.3333,1714344900,1517425900,72600000,60379000,23040000,40900000
"Asheville, NC",35982.792,30681.504,2998.944,1749.6,281.88,270.864,0.541518846,0.582516685,0.299697494,0.23037037,0.590804598,0.533492823,404941.8653,419158.4746,181099.8878,366537.5,303078.7879,265902.7778,7815378000,7419105000,161360000,146615000,50008000,38290000
"Ashland, OR",8503.0569,7403.0202,61.0128,606.9168,160.9614,271.1457,0.688247929,0.687876159,0.450657895,0.853505291,0.756857855,0.341228719,394236.4463,410776.7713,400000,222462.7451,458760.3306,366728.2609,2254244000,2040739000,10800000,113456000,55510000,33739000
"Ashland, WI",3718.594,3421.48,12.558,68.724,31.142,184.69,0.786922154,0.811333692,0.754578755,0.420348059,0.144756278,0.581569116,180009.9718,181111.35,350000,143720,78333.33333,151691.0112,382701200,362222700,3150000,3593000,235000,13500500
"Ashland, VA",2967.5646,2459.2302,361.7082,64.1844,29.7486,52.6932,0.864152241,0.884750765,0.80353224,0.467020024,0.822109276,0.826398852,328724.5413,340702.4129,241965.0206,360384.6154,334909.0909,236416.6667,716619500,635410000,58797500,9370000,7368000,5674000
"Ashtabula, OH",7439.916,6763.56,210.4428,279.3972,21.4776,165.0384,0.679133958,0.70448468,0.672336616,0.256237357,0.780701754,0.351598174,145901.4546,147818.4388,133848.9209,73873.23944,215000,89964.28571,712145000,679817000,18605000,5245000,3440000,5038000
"Athens, GA",51561.0608,29909.4512,15260.3884,3866.7828,1374.988,1149.4504,0.370539483,0.442419632,0.264601024,0.361729343,0.189928058,0.15232358,265032.4552,277284.5182,254932.8191,170163.3094,405405.4054,122126.4368,5030316000,3642964000,1024575000,236527000,105000000,21250000
"Athens, AL",9164.2642,6983.5584,1474.655,284.9938,209.3182,211.7388,0.81553668,0.842545972,0.710669546,0.674117121,0.735849057,0.924187726,222414.6493,228359.743,190609.2067,183469.1892,225032.8947,251394.7368,1607835500,1297311700,194612000,33941800,34205000,47765000
"Athens, OH",8561.742,8136.408,63.84,133.8645,163.7895,63.84,0.693261255,0.708856414,0.44375,0.192250373,0.378806334,0.8125,152848.1863,154032.3999,122333.3333,141520,105737.7049,100520,876431500,858114500,3303000,3538000,6450000,5026000
"Athens, TX",4437.1392,3445.1072,371.3856,489.056,66.1664,65.424,0.667524156,0.719507596,0.473263368,0.508159393,0.140252454,0.757446809,175267.6036,189335.673,97844.7205,100514.6444,425000,101177.7778,473923600,426194600,15753000,24023000,3400000,4553000
"Atlanta, GA",219039.3324,97631.6378,96950.4132,8607.3056,11615.6362,4234.3396,0.455276477,0.579242271,0.333044065,0.481781279,0.381275113,0.544767949,484247.4045,610901.5375,260581.9955,446985.7385,556758.5349,438251.1931,48162762600,34449348600,8391522000,1849180000,2462543000,1010169000
"Atlantic Beach, FL",4963.565,3931.1627,310.2108,336.2539,321.935,64.0026,0.692739593,0.711956389,0.649938042,0.53872535,0.673134328,0.627627628,335152.0285,341591.2695,216712.0419,443850.5747,234480.3922,533945.9459,1082205900,895993900,41392000,77230000,47834000,19756000
"Atlantic City, NJ",15379.4064,8685.0144,3227.5344,1863.4272,1191.0096,412.4208,0.550932993,0.745340111,0.223971339,0.273599097,0.604589585,0.113848768,285373.8681,303234.4925,288802.521,187237.6238,191543.7853,286222.2222,2376308200,1927055200,206205000,94555000,135613000,12880000
"Attleboro, MA",17313.954,15489.944,339.026,751.084,510.15,223.75,0.747803073,0.787163724,0.881731785,0.112964728,0.46877193,0.5872,393660.893,392628.2903,395050.5051,593674.6988,479292.3729,201511.6279,5034135500,4728422500,117330000,49275000,113113000,25995000
"Atwater, CA",9003.1338,3452.5116,429.9804,4279.1247,655.776,185.7411,0.537516037,0.665011871,0.363518198,0.456049458,0.608522727,0.196589769,300370.987,324140.7592,259802.6316,257502.788,391138.4615,290571.4286,1409040300,717323500,39490000,489512800,152544000,10170000
"Auburn, AL",24528.5282,17373.6288,4739.6118,518.3772,1060.7322,836.1782,0.67117166,0.697905713,0.622018791,0.89133627,0.30534625,0.721893491,255445.6963,262993.1818,210406.8259,94980.34934,266261.6822,440370.4319,4169640100,3159074100,616492000,43501000,85470000,265103000
"Auburn, CA",5463.2936,4353.3032,108.2336,551.1808,239.3536,211.2224,0.75098728,0.786999261,0.81277533,0.519031142,0.903386454,0.409706546,610469.3491,613427.7709,644103.4483,435366.9065,811434.1463,550297.619,2382051400,1992413400,56037000,121032000,166344000,46225000
"Auburn, WA",28162.7443,18473.1932,1505.0367,2817.2181,3216.0551,2151.2412,0.659287128,0.710842639,0.516474515,0.546438453,0.670103942,0.448095174,395416.0578,405958.6091,356162.3377,284836.0764,457213.4462,322875.2643,7197758500,5212914500,274245000,432666000,972493000,305440000
"Auburn Hills, MI",8968.3155,5705.9685,2037.258,639.747,336.6135,248.7285,0.58268133,0.696843752,0.321281841,0.608591365,0.351844177,0.35053281,195142.7296,214374.282,114256.3291,131892.3885,217565.2174,182891.5663,983714500,821053500,72210000,50251000,25020000,15180000
"Auburndale, FL",6080.8776,3735.3453,791.1831,1403.397,59.7696,91.1826,0.691625712,0.771325318,0.492649426,0.587174834,0.696022727,0.757914339,177923.6039,168997.7143,207212.5341,188562.0957,211945.9459,226393.9394,688208500,443619000,76047000,145758500,7842000,14942000
"Audubon, NJ",3601.44,2580.336,562.536,249.696,110.52,98.352,0.634606158,0.730788548,0.326891079,0.500288351,0.54267101,0.315519766,218817.3598,220751.0626,177134.5029,205427.3504,238456.1404,367068.9655,452514300,373952300,30290000,24035000,13592000,10645000
